Alimento,Kcal,Carbo_Netti,Prot,Grassi,Porzioni_Confezione
Barretta alla Nocciola 40g - Confezione 5 barrette,133,5.00,12.10,4.60,5
Biglie al Formaggio Confezione 4 porzioni,184,4.30,16.00,9.60,4
Brownie con chips di cioccolato bianco 5 porzioni da 35g Gluten Free •LINEADICIOTTO,97,5.70,11.00,3.10,5
Crisp alla salsa BBQ  2 porzioni,100,4.40,11.20,3.25,2
Crisp Formaggio e Cipolla 2 porzioni,90,3.60,11.20,2.50,2
Crunchy Chips al gusto di Barbecue  2 porzioni •LINEADICIOTTO,100,4.40,11.20,3.25,2
Crunchy Chips al gusto di Formaggio e Cipolla  2 porzioni •LINEADICIOTTO,90,3.60,11.20,2.50,2
Cubotta al Latte - Confezione 15 pezzi,228,2.52,14.35,14.35,15
Cubotta Cioccolato Fondente - Confezione 15 pezzi,211,1.66,14.99,13.00,15
Dessert al cacao 5 porzioni da 25g,97,5.70,11.00,3.10,5
Dessert al cioccolato con aroma caramello 5 porzioni da 25g (Gluten Free) •LINEADICIOTTO,97,5.70,11.00,3.10,5
Dessert Cacao e Caramello 5 porzioni da 25g Gluten Free,97,5.70,11.00,3.10,5
Focaccia alle Olive  2 porzioni da 50g •LINEADICIOTTO,184,4.30,16.00,9.60,2
Frittatina agli Asparagi 5 porzioni,87,1.10,17.90,1.10,5
Frittatina ai Funghi 5 porzioni,92,1.70,18.00,1.20,5
Frittatina al Formaggio 5 porzioni (Gluten Free),129,2.90,18.00,5.00,5
Frittatina al Pomodoro 5 porzioni,90,1.90,17.80,1.20,5
Frittatina alle Erbette 5 porzioni,97,1.10,18.00,2.30,5
Grissini all'olio extra vergine di oliva confezione 2 porzioni •LINEADICIOTTO,97,5.70,11.00,3.10,2
Mini Baguette all'olio d'oliva - confezione 2 porzioni,97,5.70,11.00,3.10,2
Mista Crepe e Pancake - Confezione 6 porzioni •LINEADICIOTTO,403,11.20,66.50,9.70,6
Mista Omelette 5 porzioni •LINEADICIOTTO,87,1.10,17.90,1.10,5
Mousse al cacao 5 porzioni da 25g •LINEADICIOTTO,97,5.70,11.00,3.10,5
Nachos Bacon 2 porzioni •LINEADICIOTTO,97,5.70,11.00,3.10,2
Nachos Classiche 2 porzioni •LINEADICIOTTO,97,5.70,11.00,3.10,2
Nachos Paprika e Formaggio 2 porzione •LINEADICIOTTO,97,5.70,11.00,3.10,2
Omelette agli Asparagi 5 porzioni •LINEADICIOTTO,87,1.10,17.90,1.10,5
Omelette ai Funghi 5 porzioni •LINEADICIOTTO,92,1.70,18.00,1.20,5
Omelette al Formaggio 5 porzioni (Gluten Free) •LINEADICIOTTO,129,2.90,18.00,5.00,5
Omelette al Pomodoro e Peperoncino 5 porzioni •LINEADICIOTTO,90,1.90,17.80,1.20,5
Omelette alle Erbette 5 porzioni •LINEADICIOTTO,97,1.10,18.00,2.30,5
Onde al Rosmarino 4 porzioni,119,2.30,9.70,5.90,4
Palline Snack al gusto di Formaggio Confezione 4 porzioni •LINEADICIOTTO,184,4.30,16.00,9.60,4
Pane a Fette con Semi Oleosi 4 porzioni da 70g •LINEADICIOTTO,185,5.25,15.40,9.17,4
Panfette con Semi Oleosi 4 porzioni da 70g,185,5.25,15.40,9.17,4
Pepite con Cioccolato Bianco 5 porzioni da 35g Gluten Free,97,5.70,11.00,3.10,5
Prosciutto di Tacchino stagionato 40g •LINEADICIOTTO,94,1.40,17.40,2.10,
Smoothie Banana 200 ml •LINEADICIOTTO,105,2.7,15.00,3.2,
Smoothie Fragola 200 ml •LINEADICIOTTO,101,1.87,15.00,3.2,
Smoothie Mango 200 ml •LINEADICIOTTO,108,1,15.00,3.3,
Spianata alle Olive Nere - 2 porzioni da 50g,184,4.30,16.00,9.60,2
Tavoletta Cioccolato Crunchy intenso 35g - Confezione 5 tavolette,133,5.00,12.10,4.60,5
Tavoletta Cioccolato Crunchy Noir - Confezione 5 porzioni •LINEADICIOTTO,211,1.66,14.99,13.00,5
Tavoletta Cioccolato Milk - Confezione  5 porzioni •LINEADICIOTTO,228,2.52,14.35,14.35,5
Tegole al Rosmarino 4 porzioni •LINEADICIOTTO,119,2.30,9.70,5.90,4
Tortilla al Bacon 2 porzioni,97,5.70,11.00,3.10,2
Tortilla Classica 2 porzioni,97,5.70,11.00,3.10,2
Tortilla Paprika e Formaggio 2 porzione,97,5.70,11.00,3.10,2
Zero Fruits Albicocca - Vasetto 230 g •LINEADICIOTTO,8,3.6,0.0,0.0,
Zero Fruits Fragola - Vasetto 230g •LINEADICIOTTO,2,3.4,0.0,0.0,
